"id" "from" "to" "L" "from.state" "to.state" "weights"
"1" 1 0 0.0340605158069637 0 "diag" "0" 1
"2" 1 0.0340605158069637 0.048436035814662 0 "diag" "0" 1.03
"3" 1 0.048436035814662 0.071351872373675 0 "diag" "0" 1.0609
"4" 1 0.071351872373675 0.106991977549042 0 "diag" "0" 1.039682
"5" 1 0.106991977549042 0.128778271519695 0 "diag" "0" 1.07087246
"6" 1 0.128778271519695 0.235918468082723 0 "diag" "0" 1.1029986338
"7" 1 0.235918468082723 0.309581522075948 0 "diag" "0" 1.1029986338
"8" 1 0.309581522075948 0.314856704666296 0 "diag" "0" 1.13563838929
"9" 1 0.314856704666296 0.370901226016755 0 "diag" "0" 1.16924401509552
"10" 1 0.370901226016755 0.37515571802354 0 "diag" "0" 1.14538189233847
"11" 1 0.37515571802354 0.429470258429384 0 "diag" "0" 1.17927584629542
"12" 1 0.429470258429384 0.451614911396708 0 "diag" "0" 1.15520899228939
"13" 1 0.451614911396708 0.461000530292647 0 "diag" "0" 1.18939374818367
"14" 1 0.461000530292647 0.464104170053468 0 "diag" "0" 1.18939374818367
"15" 1 0.464104170053468 0.490407534360399 0 "diag" "0" 1.16461471176318
"16" 1 0.490407534360399 0.493387468746607 0 "diag" "0" 1.14035190526811
"17" 1 0.493387468746607 0.546945381869927 0 "diag" "0" 1.17361216917177
"18" 1 0.546945381869927 0.567023837369147 0 "diag" "0" 1.17361216917177
"19" 1 0.567023837369147 0.602946740720491 0 "diag" "0" 1.17361216917177
"20" 1 0.602946740720491 0.615267051799572 0 "diag" "0" 1.20677946960488
